,Unnamed: 0,Unnamed: 0_x,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
81,81,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,81,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n200-k36.vrp,59735.0
82,82,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,82,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n176-k26.vrp,48716.0
83,83,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,83,K3C15J2,K3E2C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n936-k151.vrp,
84,84,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,84,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_5.vrp,6509.0
85,85,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,85,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n439-k37.vrp,37503.0
86,86,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,86,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp,97165.0
87,87,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,87,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n106-k14.vrp,26635.0
88,88,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,88,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n331-k15.vrp,32350.0
89,89,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,89,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n143-k7.vrp,16161.0
90,90,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,90,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n204-k19.vrp,20091.0
91,91,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,91,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n701-k44.vrp,85692.0
92,92,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,92,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT13.vrp,1561.0
93,93,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,93,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n401-k29.vrp,68172.0
94,94,1,2,500,18,26,20,7,2,100,0.2666666666666666,1.3666666666666665,K3C15J2,94,K3C15J2,K3E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n895-k37.vrp,57448.0
