,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
133,133,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,133,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n317-k53.vrp,78954.0
134,134,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,134,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n480-k70.vrp,92095.0
135,135,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,135,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n308-k13.vrp,26833.0
136,136,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,136,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_18.vrp,1047.0
137,137,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,137,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n548-k50.vrp,88428.0
138,138,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,138,K5C10J2,K5E5C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n139-k10.vrp,13712.0
139,139,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,139,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n819-k171.vrp,162576.0
140,140,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,140,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n936-k151.vrp,
141,141,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,141,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n491-k59.vrp,69574.0
142,142,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,142,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_16.vrp,1700.0
143,143,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,143,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n459-k26.vrp,25091.0
144,144,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,144,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n162-k11.vrp,14281.0
145,145,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,145,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n384-k52.vrp,68012.0
146,146,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,146,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n837-k142.vrp,198701.0
147,147,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,147,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_6.vrp,8550.0
148,148,3,17.0,10.0,10,500,20,25,40,7,10,100,0.2,1.3,10.0,K5C10J2,148,K5C10J2,K5E4C10J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n195-k51.vrp,45104.0
149,149,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,149,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n411-k19.vrp,20860.0
150,150,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,150,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n139-k10.vrp,13742.0
151,151,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,151,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n837-k142.vrp,198701.0
152,152,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,152,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n195-k51.vrp,45104.0
153,153,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,153,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n783-k48.vrp,76312.0
154,154,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,154,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp,225742.0
155,155,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,155,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT2.vrp,843.0
156,156,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,156,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_14.vrp,1135.0
157,157,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,157,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n819-k171.vrp,162065.0
158,158,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,158,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n376-k94.vrp,148736.0
159,159,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,159,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n251-k28.vrp,39684.0
160,160,7,23.0,6.0,6,500,15,25,20,7,6,100,0.3,1.4,6.0,K7C15J2,160,K7C15J2,K7E1C15J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT5.vrp,1333.0
